"hub","site","date","species","bandNumber","bandCombo","encounterType"
"Atlanta","DICKEMMGA1",2014-05-30,"SOSP","2661-07955","O/BK,A","band"
"Atlanta","FUTCROBGA1",2014-05-31,"NOCA","2641-63342","A,BK/Y","band"
"Atlanta","FUTCROBGA1",2014-05-31,"TUTI","2661-07956","O/BK,A","band"
"Atlanta","FUTCROBGA1",2014-05-31,"CARW","2661-07957","BU,P/A","band"
"Atlanta","FUTCROBGA1",2014-05-31,"TUTI","2661-07958","G,A/P","band"
"Atlanta","FUTCROBGA1",2014-05-31,"SOSP","2661-07959","BK,ABUU","band"
"Atlanta","FUTCROBGA1",2014-05-31,"TUTI","2661-07960","W,P/A","band"
"Atlanta","FUTCROBGA1",2014-05-31,"NOCA","2641-63343","A,BK/BK","band"
"Atlanta","CARTJOYGA1",2014-06-01,"CARW","2661-07928","O/P,A","resight-participant"
"Atlanta","CARTJOYGA1",2014-06-01,"NOCA","2641-63319","W/Y,A","resight-participant"
"Atlanta","CARTJOYGA1",2014-06-01,"NOCA","2641-63318","O,O/A","resight-participant"
"Atlanta","MURRSANGA1",2014-06-02,"TUTI","2661-07961","A,BK/Y","band"
"Atlanta","MURRSANGA1",2014-06-02,"CARW","2661-07962","W,P/A","band"
"Atlanta","MURRSANGA1",2014-06-02,"TUTI","2661-07963","BK,A/BU","band"
"Atlanta","MURRSANGA1",2014-06-02,"CARW","2661-07964","W/P,A","band"
"Atlanta","MURRSANGA1",2014-06-02,"TUTI","2661-07965","BK,A/BK","band"
"Atlanta","MURRSANGA1",2014-06-02,"CACH","2710-53739","O/BK,A","band"
"Atlanta","DISLINGA1",2014-06-03,"NOCA","2641-63344","BK,A/BU","band"
"Atlanta","CHAMICGA1",2014-06-04,"CARW","2661-07966","W/A,P","band"
"Atlanta","CHAMICGA1",2014-06-04,"CARW","2661-07967","W,Y/A","band"
"Atlanta","CHAMICGA1",2014-06-04,"NOCA","2641-63345","G/A,P","band"
"Atlanta","CHAMICGA1",2014-06-04,"GRCA","2641-63346","O/A,O","band"
"Atlanta","CHAMICGA1",2014-06-04,"CARW","2661-07968","R/G,A","band"
"Atlanta","PLANANDGA1",2014-06-06,"GRCA","2641-63347","W/P,A","band"
"Atlanta","PLANANDGA1",2014-06-06,"HOWR","2710-53740","O/BK,A","band"
"Atlanta","PLANANDGA1",2014-06-06,"HOWR","2710-53741","A,BK/Y","band"
"Atlanta","PLANANDGA1",2014-06-06,"NOCA","2641-63348","BU,P/A","band"
"Atlanta","PLANANDGA1",2014-06-06,"NOCA","2641-63349","W/A,P","band"
"Atlanta","PLANANDGA1",2014-06-06,"NOCA","2641-63350","R,A/BK","band"
"Atlanta","PLANANDGA1",2014-06-06,"NOCA","2641-63351","O,A/P","band"
"Atlanta","PLANANDGA1",2014-06-06,"NOCA","2641-63352","BU,W/A","band"
